id,categoria,titulo_curto,descricao_objetiva,valor_ou_faixa_prevista,dataset_ou_experimento_alvo,janela_temporal,status,falsificabilidade,dependencias,fonte_interna,fonte_externa,owner,prioridade,next_action,updated_at,mapeamento_id_antigo
RLL59-001,confirmação,DESI DR2 confirma w(z) dinâmico,Compatibilizar preferência DESI DR2 por energia escura dinâmica com setor logístico RLL.,w_eff(z~0.5) compatível com w0wa (2.8–4.2σ),DESI DR2 BAO + CMB,2026-Q2,confirmado,sim,"Pipeline BAO+SN; prior Ωs0,z_t,w_t",newadd/01_RLL_DESI_CrossAnalysis_PhD.md#2.1;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#2️⃣-desi,DESI Collaboration 2025 (DR2 BAO/Cosmology),Equipe RLL,P0,Rodar ajuste MCMC conjunto DESI DR2+Planck e comparar Δχ² vs ΛCDM.,2026-03-05,D2|D3
RLL59-002,confirmação,Okada PRL valida transição quente→fria,Verificar correspondência analítica do limite a^-4 para a^-3 da superposição RLL com cenário Minnesota.,ρ_sup: a^-4 (z>>z_t) e a^-3 (z<<z_t),PRL 136 + catálogos cinemáticos de halo,2026-Q2,confirmado,sim,"Definição canônica de f(z), z_t, w_t",newadd/01_RLL_DESI_CrossAnalysis_PhD.md#1.2;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md#1️⃣-minnesota,"Okada et al., PRL 136 (2026)",Equipe RLL,P0,Comparar trajetória térmica efetiva com curvas de transferência em simulação linear.,2026-03-05,D1
RLL59-003,confirmação,Nature Communications reforça base fotônica,Conectar evidência de não-localidade fotônica laboratorial à hipótese microfísica do setor Ωs₀.,Evidência qualitativa de coerência não-local fotônica,Nature Communications s41467-025-63981-3,2026-Q3,confirmado,sim,Ponte formal L_RLL_EFT e hipótese de coerência,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3.2;docs/COMPARACAO_DESI_2025.md#3.,Nature Communications 2025 DOI 10.1038/s41467-025-63981-3,Equipe RLL,P1,Formalizar prior para Ωs₀ usando limites experimentais de não-localidade.,2026-03-05,D5|A7
RLL59-004,predição,Predição w_eff em z=0,w_eff(z=0) no intervalo DR3,w_eff(z=0) = -0.65 a -0.80,DESI DR3 + Pantheon+,2026-Q4,proposto,sim,MCMC cosmológico; likelihood BAO+CMB+SNe,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#2-4;docs/COMPARACAO_DESI_2025.md,DESI/Euclid/LSST/LVK releases,Equipe RLL,P0,Rodar forecast Fisher DR3 e validar cobertura 68/95%.,2026-03-05,A2
RLL59-005,predição,Transição z_t em Euclid,Janela de transição logística em dados tomográficos Euclid.,z_t ≈ 0.5–1.2,Euclid clustering+lensing,2027-Q1,proposto,sim,MCMC cosmológico; likelihood BAO+CMB+SNe,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#2-4;docs/COMPARACAO_DESI_2025.md,DESI/Euclid/LSST/LVK releases,Equipe RLL,P0,Ajustar z_t em bins tomográficos e testar estabilidade com prior fraco.,2026-03-05,A3
RLL59-006,predição,Supressão fσ8/P(k) em k>k_J,Detectar supressão de crescimento acima da escala de Jeans fotônica.,Δfσ8<0 e ΔP(k)=-2% a -8% para k>k_J,LSST Y1/Y3 + DESI,2027-Q2,proposto,sim,MCMC cosmológico; likelihood BAO+CMB+SNe,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#2-4;docs/COMPARACAO_DESI_2025.md,DESI/Euclid/LSST/LVK releases,Equipe RLL,P0,Implementar módulo k_J^RLL no pipeline de potência.,2026-03-05,A5
RLL59-007,predição,Atraso GW-EM compatível,Testar Δt_GW-EM com bound de plasma/fótons sem violar ΩP₀.,Δt_GW-EM ~ 0.5 ms/100 Mpc; ΩP₀ < 0.01,LIGO-Virgo-KAGRA + sirenes padrão,2027-Q1,proposto,sim,MCMC cosmológico; likelihood BAO+CMB+SNe,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#2-4;docs/COMPARACAO_DESI_2025.md,DESI/Euclid/LSST/LVK releases,Equipe RLL,P0,Rodar inferência conjunta com eventos BNS e prior ΩP₀.,2026-03-05,A5
RLL59-008,predição,"Dipolo anisotrópico f(z,θ,φ)",Implementar extensão anisotrópica para explicar anomalia dipolar 5.4σ.,"δz_t(θ,φ) dipolar com A1 ~ 10^-2",Catálogos all-sky + DESI,2026-Q3,proposto,sim,MCMC cosmológico; likelihood BAO+CMB+SNe,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#2-4;docs/COMPARACAO_DESI_2025.md,DESI/Euclid/LSST/LVK releases,Equipe RLL,P0,"Codificar f(z,θ,φ) e medir Bayes factor vs isotrópico.",2026-03-05,D11
RLL59-009,predição,Evolução D_A relativa,Predição falsificável derivada do formalismo RLL cruzado com observáveis.,D_A^RLL/D_A^ΛCDM = 1 ± 0.3% (0.1<z<2),DESI BAO radial/transversal,2026-2028,proposto,sim,Cadeia Bayesiana; calibração sistemáticos,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#2-3;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md,Public releases DESI/Planck/ACT/LSST/Euclid,Equipe RLL,P1,Reestimar D_A em grid de z e checar resíduos correlacionados.,2026-03-05,A1
RLL59-010,predição,Shift do z_eq efetivo,Predição falsificável derivada do formalismo RLL cruzado com observáveis.,Δz_eq/z_eq entre 0.2% e 1.0%,Planck PR4 + ACT DR6,2026-2028,proposto,sim,Cadeia Bayesiana; calibração sistemáticos,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#2-3;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md,Public releases DESI/Planck/ACT/LSST/Euclid,Equipe RLL,P1,Propagar ΩP₀ em Boltzmann solver e comparar TT/TE/EE.,2026-03-05,A5
RLL59-011,predição,Faixa de c_s² transicional,Predição falsificável derivada do formalismo RLL cruzado com observáveis.,c_s²→0 (z<<z_t) e c_s²→1 (z>>z_t),Euclid+SKA crescimento,2026-2028,proposto,sim,Cadeia Bayesiana; calibração sistemáticos,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#2-3;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md,Public releases DESI/Planck/ACT/LSST/Euclid,Equipe RLL,P1,Extrair c_s² efetivo por reconstrução não-paramétrica.,2026-03-05,A3
RLL59-012,predição,Jeans fotônico k_J,Predição falsificável derivada do formalismo RLL cruzado com observáveis.,k_J entre 0.05 e 0.2 h/Mpc no z~0.8,LSST 3x2pt,2026-2028,proposto,sim,Cadeia Bayesiana; calibração sistemáticos,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#2-3;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md,Public releases DESI/Planck/ACT/LSST/Euclid,Equipe RLL,P1,Incluir prior de k_J e calcular tensão S8 residual.,2026-03-05,A5
RLL59-013,predição,w_a equivalente,Predição falsificável derivada do formalismo RLL cruzado com observáveis.,w_a equivalente entre -0.8 e -1.2,DESI DR3 + SNe,2026-2028,proposto,sim,Cadeia Bayesiana; calibração sistemáticos,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#2-3;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md,Public releases DESI/Planck/ACT/LSST/Euclid,Equipe RLL,P1,"Mapear (z_t,w_t)→(w0,wa) por emulador.",2026-03-05,D2
RLL59-014,predição,Redução de S8,Predição falsificável derivada do formalismo RLL cruzado com observáveis.,ΔS8 de -0.01 a -0.03,DES Y5 + KiDS,2026-2028,proposto,sim,Cadeia Bayesiana; calibração sistemáticos,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#2-3;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md,Public releases DESI/Planck/ACT/LSST/Euclid,Equipe RLL,P1,Rodar cadeia conjunta com nuisance completos.,2026-03-05,D3
RLL59-015,predição,Variação H(z) baixa-z,Predição falsificável derivada do formalismo RLL cruzado com observáveis.,ΔH/H entre -0.5% e -1.5% em z<1,Cosmic chronometers + BAO,2026-2028,proposto,sim,Cadeia Bayesiana; calibração sistemáticos,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#2-3;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md,Public releases DESI/Planck/ACT/LSST/Euclid,Equipe RLL,P1,Comparar curva H(z) com reconstrução GP.,2026-03-05,A1
RLL59-016,predição,Lensing cluster com plasma,Predição falsificável derivada do formalismo RLL cruzado com observáveis.,ΔM_lensing até 5% em clusters quentes,eROSITA + weak lensing,2026-2028,proposto,sim,Cadeia Bayesiana; calibração sistemáticos,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#2-3;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md,Public releases DESI/Planck/ACT/LSST/Euclid,Equipe RLL,P1,Testar correlação massa-temperatura com termo 3p/c².,2026-03-05,D5
RLL59-017,predição,Anisotropia quadrupolar residual,Predição falsificável derivada do formalismo RLL cruzado com observáveis.,A2 < 3e-3 após termo dipolar,Catálogo rádio+óptico full-sky,2026-2028,proposto,sim,Cadeia Bayesiana; calibração sistemáticos,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#2-3;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md,Public releases DESI/Planck/ACT/LSST/Euclid,Equipe RLL,P1,Ajustar multipolos l<=3 no modelo anisotrópico.,2026-03-05,D7
RLL59-018,emergente,Operador EFT estável sem ghost,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P1,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-019,emergente,Prior térmico α_T para pré-recombinação,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-020,emergente,Canal de polarização CMB para Ωs₀,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-021,emergente,Cross-correlacao ISW×BAO RLL,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-022,emergente,Consistência N_eff com ΩP₀,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-023,emergente,Termo magneto-coerente α_B calibrável,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-024,emergente,Expoente β em filamentos galácticos,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-025,emergente,Acoplamento B-campo em halos massivos,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-026,emergente,Relação spin-filamento prevista,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-027,emergente,Módulo AGN duty-cycle desacoplado de FRW,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-028,emergente,Validação FRW mínimo sem ε_feedback,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P1,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-029,emergente,Assinatura em função de massa de halo,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-030,emergente,Escalonamento barions/plasma em z alto,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-031,emergente,Entropia de von Neumann em z_t,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
RLL59-032,emergente,Máximo entrópico em f=1/2,Item emergente derivado das formulações latentes/emergentes e governança experimental.,Entregável verificável com critério quantitativo definido no protocolo interno,"DESI DR2/DR3, Euclid, LSST, Planck, ACT ou documentação de suporte",2026-2028,em_validação,sim,Governança de dados; pipelines MCMC; revisão de pares,newadd/01_RLL_DESI_CrossAnalysis_PhD.md#3-5;docs/canonicos/11_DOCUMENTO_PRIORIDADE.md;docs/tracking_frentes.csv,DESI papers; Euclid forecasts; LSST DESC roadmap; literatura observacional,Equipe RLL,P2,Executar experimento/validação associada e registrar métrica de aceite no próximo ciclo.,2026-03-05,
